CLA1,CLA2,SCA1,SCA2,SCA3,PUR1,PUR2,PUR3,CUL1,CUL2,CUL3,USA1,USA2,USA3,ADD1,ADD2,ADD3,PRICE1,PRICE2,PRICE3
0.6730442176870772,0.658163265306123,0.10941043083900368,0.3445294784580508,0.877267573696147,0.49929138321995525,0.668934240362814,0.16298185941042787,1.0201247165532894,0.37726757369614583,-0.06618480725623654,-0.2923752834467114,0.7165532879818601,0.9070294784580504,0.002267573696146774,0.648100907029479,0.6808390022675732,0.5082199546485285,0.43381519274376606,0.38917233560091047
0.014880952380951676,0.0,-0.5014880952380947,0.0,0.0,0.08333333333333415,0.0,0.0,0.864583333333332,0.0,0.0,-1.1041666666666656,0.0,0.0,-0.6622023809523792,0.0,0.0,0.09672619047618847,0.0,0.0
0.014880952380952911,0.0,-0.5014880952380946,0.0,0.0,0.08333333333333426,0.0,0.0,0.8645833333333337,0.0,0.0,-1.104166666666666,0.0,0.0,-0.6622023809523786,0.0,0.0,0.0,-0.014880952380951773,0.0
0.014880952380952023,0.0,-0.5014880952380946,0.0,0.0,0.08333333333333492,0.0,0.0,0.8645833333333327,0.0,0.0,-1.104166666666666,0.0,0.0,-0.6622023809523785,0.0,0.0,0.0,0.0,-0.08184523809522992
0.014880952380952495,0.0,-0.5014880952380951,0.0,0.0,0.08333333333333504,0.0,0.0,0.8645833333333324,0.0,0.0,-1.104166666666666,0.0,0.0,0.0,0.3065476190476196,0.0,0.09672619047618769,0.0,0.0
0.01488095238095262,0.0,-0.5014880952380945,0.0,0.0,0.08333333333333481,0.0,0.0,0.8645833333333324,0.0,0.0,-1.1041666666666659,0.0,0.0,0.0,0.30654761904761907,0.0,0.0,-0.014880952380951773,0.0
0.014880952380952633,0.0,-0.5014880952380945,0.0,0.0,0.08333333333333443,0.0,0.0,0.8645833333333321,0.0,0.0,-1.1041666666666652,0.0,0.0,0.0,0.3065476190476192,0.0,0.0,0.0,-0.08184523809523059
0.014880952380951884,0.0,-0.501488095238094,0.0,0.0,0.08333333333333426,0.0,0.0,0.8645833333333326,0.0,0.0,-1.104166666666666,0.0,0.0,0.0,0.0,0.3556547619047592,0.09672619047618725,0.0,0.0
0.014880952380952897,0.0,-0.5014880952380951,0.0,0.0,0.08333333333333426,0.0,0.0,0.8645833333333328,0.0,0.0,-1.1041666666666656,0.0,0.0,0.0,0.0,0.3556547619047599,0.0,-0.014880952380950774,0.0
0.014880952380952828,0.0,-0.5014880952380956,0.0,0.0,0.08333333333333404,0.0,0.0,0.8645833333333317,0.0,0.0,-1.1041666666666656,0.0,0.0,0.0,0.0,0.35565476190475936,0.0,0.0,-0.08184523809522859
0.01488095238095262,0.0,-0.5014880952380949,0.0,0.0,0.08333333333333387,0.0,0.0,0.8645833333333318,0.0,0.0,0.0,0.40922619047619035,0.0,-0.6622023809523798,0.0,0.0,0.09672619047618647,0.0,0.0
0.014880952380952606,0.0,-0.5014880952380945,0.0,0.0,0.08333333333333476,0.0,0.0,0.8645833333333321,0.0,0.0,0.0,0.4092261904761898,0.0,-0.6622023809523787,0.0,0.0,0.0,-0.014880952380952106,0.0
0.014880952380952134,0.0,-0.5014880952380951,0.0,0.0,0.08333333333333431,0.0,0.0,0.8645833333333331,0.0,0.0,0.0,0.4092261904761899,0.0,-0.6622023809523794,0.0,0.0,0.0,0.0,-0.0818452380952297
0.014880952380952564,0.0,-0.501488095238096,0.0,0.0,0.0833333333333347,0.0,0.0,0.8645833333333326,0.0,0.0,0.0,0.409226190476189,0.0,0.0,0.30654761904762,0.0,0.09672619047618458,0.0,0.0
0.014880952380951953,0.0,-0.501488095238095,0.0,0.0,0.08333333333333448,0.0,0.0,0.8645833333333327,0.0,0.0,0.0,0.4092261904761899,0.0,0.0,0.30654761904762,0.0,0.0,-0.014880952380952106,0.0
0.01488095238095248,0.0,-0.5014880952380953,0.0,0.0,0.08333333333333454,0.0,0.0,0.864583333333332,0.0,0.0,0.0,0.40922619047618936,0.0,0.0,0.30654761904761973,0.0,0.0,0.0,-0.08184523809522992
0.014880952380952592,0.0,-0.5014880952380951,0.0,0.0,0.08333333333333487,0.0,0.0,0.8645833333333324,0.0,0.0,0.0,0.4092261904761896,0.0,0.0,0.0,0.3556547619047607,0.09672619047618469,0.0,0.0
0.014880952380952397,0.0,-0.5014880952380951,0.0,0.0,0.08333333333333381,0.0,0.0,0.864583333333332,0.0,0.0,0.0,0.4092261904761899,0.0,0.0,0.0,0.3556547619047607,0.0,-0.014880952380951329,0.0
0.014880952380952744,0.0,-0.5014880952380956,0.0,0.0,0.08333333333333376,0.0,0.0,0.8645833333333333,0.0,0.0,0.0,0.40922619047619013,0.0,0.0,0.0,0.3556547619047608,0.0,0.0,-0.08184523809522926
0.014880952380952064,0.0,-0.5014880952380943,0.0,0.0,0.08333333333333465,0.0,0.0,0.8645833333333326,0.0,0.0,0.0,0.0,0.6949404761904726,-0.6622023809523793,0.0,0.0,0.09672619047618491,0.0,0.0
0.014880952380952675,0.0,-0.5014880952380949,0.0,0.0,0.08333333333333476,0.0,0.0,0.8645833333333321,0.0,0.0,0.0,0.0,0.694940476190473,-0.6622023809523798,0.0,0.0,0.0,-0.014880952380952106,0.0
0.01488095238095323,0.0,-0.501488095238095,0.0,0.0,0.08333333333333381,0.0,0.0,0.864583333333333,0.0,0.0,0.0,0.0,0.6949404761904728,-0.6622023809523803,0.0,0.0,0.0,0.0,-0.08184523809523148
