INDEX,CARD,CLA1,CLA2,SCA1,SCA2,SCA3,PUR1,PUR2,PUR3,CUL1,CUL2,CUL3,USA1,USA2,USA3,ADD1,ADD2,ADD3,PRICE,Y,Cluster
33,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,3,0
33,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,5,0
34,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,3,0
34,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,3,3,0
34,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,2,0
34,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,3,2,0
34,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2,3,0
34,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,3,4,0
34,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,3,0
34,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,4,0
34,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2,2,0
34,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3,3,0
34,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,4,0
34,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,3,3,0
34,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,3,0
34,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,2,0
34,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,3,0
34,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2,0
34,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,3,0
34,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,3,0
36,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,2,0
36,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,3,2,0
36,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,3,0
36,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,3,2,0
36,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2,3,0
36,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,3,4,0
36,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,3,0
36,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,3,0
36,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2,3,0
36,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3,2,0
36,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,3,0
36,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,3,4,0
36,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,3,0
36,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,3,0
36,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,5,0
