,Full sample,Full sample SE,Cluster 1,Cluster 1 SE,Cluster 2,Cluster 2 SE
CLA1,0.014880952380948748,-0.16679378196556982,0.0312500000000006,-0.20155900752432587,-0.00694444444444392,-0.21498479595005648
CLA2,-0.014880952380948748,0.16679378196556982,-0.0312500000000006,0.20155900752432587,0.00694444444444392,0.21498479595005648
SCA1,-1.0029761904761965,-0.38519373966791015,-1.109374999999999,-0.4654805890070524,-0.8611111111111067,-0.49648611925376723
SCA2,0.23511904761905117,0.19259686983395496,0.2760416666666658,0.23274029450352615,0.18055555555555325,0.2482430596268836
SCA3,0.7678571428571453,0.1925968698339552,0.8333333333333331,0.23274029450352626,0.6805555555555535,0.24824305962688364
PUR1,0.16666666666667673,-0.38519373966791015,0.390625000000001,-0.46548058900705225,-0.13194444444444065,-0.4964861192537674
PUR2,0.16964285714284644,0.1925968698339551,0.07812499999999767,0.23274029450352623,0.2916666666666645,0.2482430596268831
PUR3,-0.33630952380952317,0.19259686983395502,-0.46874999999999867,0.232740294503526,-0.15972222222222388,0.24824305962688428
CUL1,1.7291666666666683,-0.38519373966791,1.7187500000000027,-0.46548058900705247,1.7430555555555547,-0.4964861192537677
CUL2,-0.6428571428571438,0.19259686983395494,-0.7135416666666676,0.23274029450352615,-0.5486111111111105,0.24824305962688395
CUL3,-1.0863095238095246,0.19259686983395505,-1.005208333333335,0.23274029450352632,-1.1944444444444442,0.24824305962688373
USA1,-2.208333333333335,-0.3851937396679105,-2.0781250000000027,-0.46548058900705264,-2.3819444444444495,-0.4964861192537675
USA2,1.008928571428572,0.19259686983395524,0.8958333333333358,0.2327402945035261,1.159722222222223,0.24824305962688373
USA3,1.1994047619047628,0.19259686983395524,1.182291666666667,0.23274029450352654,1.2222222222222265,0.2482430596268838
ADD1,-1.3244047619047563,-0.3851937396679104,-0.984375000000002,-0.46548058900705236,-1.7777777777777821,-0.4964861192537674
ADD2,0.6458333333333311,0.19259686983395483,0.5416666666666667,0.2327402945035263,0.7847222222222242,0.2482430596268837
ADD3,0.6785714285714252,0.19259686983395558,0.4427083333333352,0.2327402945035261,0.9930555555555578,0.24824305962688367
PRICE_10,-0.05952380952381131,0.09629843491697768,-0.03385416666666696,0.11637014725176317,-0.09375,0.1241215298134419
PRICE_15,-0.11904761904762262,0.19259686983395535,-0.06770833333333393,0.23274029450352635,-0.1875,0.2482430596268838
PRICE_20,-0.17857142857143393,0.28889530475093306,-0.10156250000000089,0.3491104417552895,-0.28125,0.3723645894403257
Intercept,3.90575396825397,0.32892177381107796,3.036458333333333,0.39747972317209523,5.064814814814813,0.423955734997975
Number of cases,56.0,,32.0,,24.0,
