INDEX,CARD,BIO1,BIO2,BIO3,SCA1,SCA2,SCA3,KNO1,KNO2,KNO3,USE1,USE2,USE3,MET1,MET2,ANA1,ANA2,PRICE,Y,Cluster
22,11,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0
22,12,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,2,0,0
22,13,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,3,0,0
22,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,3,4,0
22,15,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,2,3,0
22,16,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3,2,0
22,17,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,3,2,0
22,18,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,2,0,0
23,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,3,0,0
23,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2,9,0
23,3,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0
23,4,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,3,4,0
23,5,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2,6,0
23,6,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,2,1,0
23,7,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,3,0
23,8,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
23,9,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,7,0
23,10,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,2,0
23,11,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0
23,12,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,2,0,0
23,13,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,3,0,0
23,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,3,0,0
23,15,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,2,5,0
23,16,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3,0,0
23,17,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,3,1,0
23,18,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,2,10,0
24,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,3,5,0
24,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2,6,0
24,3,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,8,0
24,4,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,3,9,0
24,5,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2,6,0
24,6,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,2,5,0
24,7,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,5,0
24,8,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,5,0
24,9,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,6,0
24,10,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,6,0
24,11,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,5,0
24,12,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,2,6,0
24,13,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,3,5,0
24,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,3,5,0
24,15,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,2,5,0
24,16,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3,5,0
24,17,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,3,6,0
24,18,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,2,6,0
25,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,3,0,0
25,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2,7,0
25,3,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,9,0
25,4,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,3,0,0
25,5,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2,4,0
25,6,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,2,2,0
25,7,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,2,0
25,8,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
25,9,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,6,0
25,10,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,4,0
25,11,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0
25,12,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,2,0,0
25,13,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,3,3,0
25,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,3,6,0
25,15,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,2,4,0
25,16,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3,3,0
25,17,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,3,3,0
25,18,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,2,0,0
26,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,3,2,0
26,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2,5,0
26,3,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,10,0
26,4,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,3,7,0
26,5,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2,5,0
26,6,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,2,1,0
26,7,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,3,0
26,8,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,3,0
26,9,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,6,0
26,10,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,5,0
26,11,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,3,0
26,12,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,2,4,0
26,13,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,3,1,0
26,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,3,5,0
26,15,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,2,1,0
26,16,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3,1,0
26,17,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,3,2,0
26,18,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,2,5,0
27,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,3,0,0
27,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2,0,0
27,3,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,10,0
27,4,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,3,5,0
27,5,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2,10,0
27,6,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,2,0,0
27,7,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,4,0
27,8,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
27,9,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,10,0
27,10,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,10,0
27,11,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,5,0
27,12,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,2,5,0
27,13,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,3,0,0
27,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,3,0,0
27,15,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,2,0,0
27,16,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3,0,0
27,17,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,3,8,0
27,18,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,2,8,0
28,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,3,0,0
28,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2,0,0
28,3,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,4,0
28,4,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,3,3,0
28,5,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2,3,0
28,6,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,2,0,0
28,7,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0
28,8,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
28,9,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
28,10,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,4,0
28,11,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0
28,12,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,2,4,0
28,13,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,3,0,0
28,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,3,0,0
28,15,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,2,0,0
28,16,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3,0,0
28,17,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,3,5,0
28,18,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,2,0,0
32,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,3,6,0
32,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2,6,0
32,3,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,8,0
32,4,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,3,4,0
32,5,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2,7,0
32,6,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,2,7,0
32,7,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,6,0
32,8,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,5,0
32,9,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,8,0
32,10,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,7,0
32,11,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,6,0
32,12,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,2,7,0
32,13,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,3,6,0
32,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,3,8,0
32,15,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,2,7,0
32,16,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3,6,0
32,17,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,3,8,0
32,18,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,2,8,0
37,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,3,2,0
37,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2,3,0
