INDEX,CARD,CLA1,CLA2,SCA1,SCA2,SCA3,PUR1,PUR2,PUR3,CUL1,CUL2,CUL3,USA1,USA2,USA3,ADD1,ADD2,ADD3,PRICE,Y
34,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,150000,3
34,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,200000,3
34,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,100000,2
34,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,200000,2
34,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,150000,3
34,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,200000,4
34,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,150000,3
34,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,150000,4
34,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,150000,2
34,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,200000,3
34,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,100000,4
34,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,200000,3
34,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,100000,3
34,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,150000,2
34,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,100000,3
34,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,100000,2
34,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,200000,3
34,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,100000,3
36,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,150000,2
36,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,200000,2
36,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,100000,3
36,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,200000,2
36,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,150000,3
36,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,200000,4
36,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,150000,3
36,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,150000,3
36,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,150000,3
36,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,200000,2
36,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,100000,3
36,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,200000,4
36,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,100000,3
36,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,150000,3
36,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,100000,5
36,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,100000,4
36,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,200000,2
36,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,100000,4
38,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,150000,4
38,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,200000,4
38,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,100000,3
38,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,200000,5
38,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,150000,6
38,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,200000,4
38,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,150000,5
38,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,150000,5
38,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,150000,4
38,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,200000,5
38,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,100000,4
38,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,200000,5
