BIO1,BIO2,BIO3,SCA1,SCA2,SCA3,KNO1,KNO2,KNO3,USE1,USE2,USE3,MET1,MET2,ANA1,ANA2,PRICE
0.13398086197787662,0.715741868267959,0.7912135663811661,0.29435822047939464,0.4232890380894427,0.923289038089473,0.4264336921775067,0.5962450129322212,0.6182575915485835,0.4893267739385181,0.5050500443787573,0.6465594783410356,0.47219770807758865,1.1687385885807224,0.48399016090727065,1.15694613575104,-7.550239201729184e-07
-0.6194968553459133,0.0,0.0,-0.3789308176100634,0.0,0.0,-0.18081761006289665,0.0,0.0,-0.08647798742138313,0.0,0.0,-0.6965408805031448,0.0,-0.6729559748427674,0.0,-7.55023920093748e-07
-0.6194968553459126,0.0,0.0,-0.37893081761006253,0.0,0.0,-0.18081761006289554,0.0,0.0,-0.08647798742138374,0.0,0.0,-0.696540880503143,0.0,0.0,0.6729559748427676,-7.550239201376037e-07
-0.619496855345913,0.0,0.0,-0.37893081761006386,0.0,0.0,-0.18081761006289532,0.0,0.0,-0.0864779874213834,0.0,0.0,0.0,0.6965408805031449,-0.6729559748427667,0.0,-7.550239201334633e-07
-0.6194968553459133,0.0,0.0,-0.3789308176100624,0.0,0.0,-0.1808176100628971,0.0,0.0,-0.0864779874213833,0.0,0.0,0.0,0.6965408805031439,0.0,0.6729559748427677,-7.550239201596121e-07
-0.6194968553459128,0.0,0.0,-0.37893081761006453,0.0,0.0,-0.18081761006289532,0.0,0.0,0.0,-0.06289308176100783,0.0,-0.6965408805031439,0.0,-0.672955974842768,0.0,-7.550239200960115e-07
-0.6194968553459117,0.0,0.0,-0.3789308176100632,0.0,0.0,-0.18081761006289532,0.0,0.0,0.0,-0.0628930817610065,0.0,-0.696540880503144,0.0,0.0,0.6729559748427676,-7.550239201166347e-07
-0.619496855345913,0.0,0.0,-0.37893081761006253,0.0,0.0,-0.18081761006289732,0.0,0.0,0.0,-0.06289308176100716,0.0,0.0,0.696540880503145,-0.6729559748427678,0.0,-7.550239201572592e-07
-0.6194968553459123,0.0,0.0,-0.3789308176100613,0.0,0.0,-0.18081761006289598,0.0,0.0,0.0,-0.06289308176100628,0.0,0.0,0.6965408805031452,0.0,0.6729559748427667,-7.550239201150793e-07
-0.619496855345913,0.0,0.0,-0.37893081761006375,0.0,0.0,-0.18081761006289665,0.0,0.0,0.0,0.0,0.1493710691823915,-0.6965408805031446,0.0,-0.6729559748427676,0.0,-7.550239200884355e-07
-0.6194968553459135,0.0,0.0,-0.37893081761006386,0.0,0.0,-0.1808176100628931,0.0,0.0,0.0,0.0,0.14937106918239107,-0.6965408805031436,0.0,0.0,0.6729559748427691,-7.550239201430244e-07
-0.6194968553459133,0.0,0.0,-0.3789308176100634,0.0,0.0,-0.18081761006289732,0.0,0.0,0.0,0.0,0.1493710691823928,0.0,0.6965408805031453,-0.6729559748427668,0.0,-7.550239201276427e-07
-0.6194968553459133,0.0,0.0,-0.3789308176100623,0.0,0.0,-0.1808176100628971,0.0,0.0,0.0,0.0,0.1493710691823913,0.0,0.6965408805031452,0.0,0.6729559748427687,-7.550239201790013e-07
-0.6194968553459127,0.0,0.0,-0.37893081761006453,0.0,0.0,0.0,0.07389937106917999,0.0,-0.08647798742138357,0.0,0.0,-0.6965408805031452,0.0,-0.6729559748427676,0.0,-7.550239200859767e-07
-0.6194968553459129,0.0,0.0,-0.3789308176100621,0.0,0.0,0.0,0.0738993710691791,0.0,-0.08647798742138252,0.0,0.0,-0.6965408805031449,0.0,0.0,0.6729559748427656,-7.550239201335042e-07
-0.6194968553459133,0.0,0.0,-0.378930817610064,0.0,0.0,0.0,0.07389937106917954,0.0,-0.08647798742138305,0.0,0.0,0.0,0.696540880503145,-0.6729559748427676,0.0,-7.550239201585478e-07
-0.6194968553459129,0.0,0.0,-0.37893081761006386,0.0,0.0,0.0,0.07389937106918043,0.0,-0.08647798742138366,0.0,0.0,0.0,0.6965408805031449,0.0,0.6729559748427665,-7.550239201467818e-07
-0.619496855345913,0.0,0.0,-0.3789308176100622,0.0,0.0,0.0,0.07389937106917865,0.0,0.0,-0.06289308176100528,0.0,-0.6965408805031448,0.0,-0.6729559748427671,0.0,-7.550239200814248e-07
-0.6194968553459124,0.0,0.0,-0.3789308176100632,0.0,0.0,0.0,0.07389937106917954,0.0,0.0,-0.06289308176100594,0.0,-0.6965408805031443,0.0,0.0,0.6729559748427667,-7.550239201480432e-07
-0.6194968553459128,0.0,0.0,-0.37893081761006286,0.0,0.0,0.0,0.0738993710691791,0.0,0.0,-0.06289308176100694,0.0,0.0,0.6965408805031449,-0.6729559748427671,0.0,-7.550239201330493e-07
-0.6194968553459126,0.0,0.0,-0.3789308176100623,0.0,0.0,0.0,0.07389937106917843,0.0,0.0,-0.06289308176100572,0.0,0.0,0.6965408805031452,0.0,0.6729559748427688,-7.550239201398355e-07
-0.6194968553459121,0.0,0.0,-0.3789308176100632,0.0,0.0,0.0,0.07389937106917999,0.0,0.0,0.0,0.1493710691823919,-0.6965408805031452,0.0,-0.6729559748427678,0.0,-7.550239200902104e-07
-0.6194968553459119,0.0,0.0,-0.3789308176100622,0.0,0.0,0.0,0.07389937106918154,0.0,0.0,0.0,0.1493710691823913,-0.6965408805031434,0.0,0.0,0.6729559748427674,-7.550239201411872e-07
-0.6194968553459117,0.0,0.0,-0.378930817610065,0.0,0.0,0.0,0.07389937106917754,0.0,0.0,0.0,0.14937106918239174,0.0,0.6965408805031449,-0.6729559748427671,0.0,-7.550239201192128e-07
-0.6194968553459126,0.0,0.0,-0.3789308176100622,0.0,0.0,0.0,0.07389937106917999,0.0,0.0,0.0,0.149371069182392,0.0,0.6965408805031442,0.0,0.6729559748427674,-7.550239201418094e-07
-0.619496855345913,0.0,0.0,-0.37893081761006586,0.0,0.0,0.0,0.0,0.10691823899371039,-0.08647798742138368,0.0,0.0,-0.696540880503145,0.0,-0.6729559748427683,0.0,-7.550239200637718e-07
-0.6194968553459129,0.0,0.0,-0.37893081761006486,0.0,0.0,0.0,0.0,0.10691823899371106,-0.0864779874213838,0.0,0.0,-0.6965408805031447,0.0,0.0,0.6729559748427649,-7.550239200938391e-07
-0.6194968553459129,0.0,0.0,-0.37893081761006453,0.0,0.0,0.0,0.0,0.10691823899371056,-0.08647798742138363,0.0,0.0,0.0,0.6965408805031451,-0.6729559748427673,0.0,-7.550239201757119e-07
-0.6194968553459104,0.0,0.0,-0.37893081761006175,0.0,0.0,0.0,0.0,0.10691823899371121,-0.08647798742138343,0.0,0.0,0.0,0.6965408805031443,0.0,0.672955974842766,-7.550239201592762e-07
-0.6194968553459137,0.0,0.0,-0.378930817610063,0.0,0.0,0.0,0.0,0.10691823899371133,0.0,-0.06289308176100661,0.0,-0.6965408805031454,0.0,-0.6729559748427677,0.0,-7.55023920098e-07
-0.6194968553459129,0.0,0.0,-0.3789308176100643,0.0,0.0,0.0,0.0,0.10691823899371067,0.0,-0.06289308176100683,0.0,-0.6965408805031452,0.0,0.0,0.6729559748427665,-7.550239201771009e-07
-0.6194968553459135,0.0,0.0,-0.3789308176100632,0.0,0.0,0.0,0.0,0.10691823899371088,0.0,-0.06289308176100616,0.0,0.0,0.6965408805031454,-0.6729559748427674,0.0,-7.550239201108784e-07
-0.619496855345912,0.0,0.0,-0.37893081761006286,0.0,0.0,0.0,0.0,0.10691823899371018,0.0,-0.06289308176100672,0.0,0.0,0.6965408805031444,0.0,0.6729559748427678,-7.55023920132965e-07
-0.6194968553459137,0.0,0.0,-0.37893081761006386,0.0,0.0,0.0,0.0,0.10691823899371097,0.0,0.0,0.1493710691823914,-0.696540880503145,0.0,-0.6729559748427685,0.0,-7.550239200883862e-07
-0.6194968553459125,0.0,0.0,-0.37893081761006386,0.0,0.0,0.0,0.0,0.10691823899371099,0.0,0.0,0.1493710691823909,-0.6965408805031449,0.0,0.0,0.6729559748427663,-7.550239200992801e-07
-0.6194968553459133,0.0,0.0,-0.37893081761006364,0.0,0.0,0.0,0.0,0.106918238993711,0.0,0.0,0.14937106918239124,0.0,0.6965408805031463,-0.6729559748427669,0.0,-7.550239201409458e-07
-0.6194968553459126,0.0,0.0,-0.378930817610062,0.0,0.0,0.0,0.0,0.10691823899371124,0.0,0.0,0.14937106918239168,0.0,0.6965408805031459,0.0,0.6729559748427669,-7.550239201299018e-07
-0.6194968553459119,0.0,0.0,0.0,-0.1855345911949681,0.0,-0.18081761006289643,0.0,0.0,-0.08647798742138307,0.0,0.0,-0.6965408805031446,0.0,-0.6729559748427669,0.0,-7.550239200763319e-07
-0.6194968553459124,0.0,0.0,0.0,-0.1855345911949684,0.0,-0.18081761006289643,0.0,0.0,-0.08647798742138313,0.0,0.0,-0.6965408805031454,0.0,0.0,0.672955974842768,-7.550239201332213e-07
-0.6194968553459121,0.0,0.0,0.0,-0.18553459119496837,0.0,-0.1808176100628982,0.0,0.0,-0.08647798742138296,0.0,0.0,0.0,0.6965408805031441,-0.6729559748427669,0.0,-7.550239201511248e-07
-0.6194968553459126,0.0,0.0,0.0,-0.1855345911949686,0.0,-0.18081761006289843,0.0,0.0,-0.08647798742138346,0.0,0.0,0.0,0.696540880503145,0.0,0.6729559748427688,-7.550239201401688e-07
-0.6194968553459137,0.0,0.0,0.0,-0.18553459119496762,0.0,-0.18081761006289576,0.0,0.0,0.0,-0.0628930817610065,0.0,-0.6965408805031453,0.0,-0.6729559748427671,0.0,-7.550239200810286e-07
-0.6194968553459129,0.0,0.0,0.0,-0.1855345911949684,0.0,-0.1808176100628962,0.0,0.0,0.0,-0.06289308176100705,0.0,-0.6965408805031448,0.0,0.0,0.6729559748427678,-7.550239201485382e-07
-0.6194968553459121,0.0,0.0,0.0,-0.18553459119496893,0.0,-0.18081761006289754,0.0,0.0,0.0,-0.06289308176100727,0.0,0.0,0.6965408805031441,-0.6729559748427666,0.0,-7.550239201277272e-07
-0.6194968553459125,0.0,0.0,0.0,-0.18553459119496873,0.0,-0.18081761006289665,0.0,0.0,0.0,-0.06289308176100716,0.0,0.0,0.6965408805031448,0.0,0.6729559748427669,-7.550239201348097e-07
-0.6194968553459128,0.0,0.0,0.0,-0.1855345911949683,0.0,-0.1808176100628982,0.0,0.0,0.0,0.0,0.14937106918239096,-0.6965408805031442,0.0,-0.6729559748427671,0.0,-7.550239200795357e-07
-0.6194968553459119,0.0,0.0,0.0,-0.18553459119496868,0.0,-0.18081761006289598,0.0,0.0,0.0,0.0,0.14937106918239146,-0.6965408805031439,0.0,0.0,0.6729559748427685,-7.550239201483637e-07
-0.6194968553459133,0.0,0.0,0.0,-0.1855345911949687,0.0,-0.1808176100628962,0.0,0.0,0.0,0.0,0.1493710691823914,0.0,0.6965408805031448,-0.6729559748427658,0.0,-7.55023920118376e-07
-0.6194968553459121,0.0,0.0,0.0,-0.18553459119496848,0.0,-0.18081761006289776,0.0,0.0,0.0,0.0,0.1493710691823915,0.0,0.696540880503145,0.0,0.6729559748427703,-7.550239201323517e-07
-0.6194968553459121,0.0,0.0,0.0,-0.18553459119496893,0.0,0.0,0.0738993710691811,0.0,-0.08647798742138382,0.0,0.0,-0.696540880503145,0.0,-0.6729559748427671,0.0,-7.550239200958191e-07
-0.6194968553459138,0.0,0.0,0.0,-0.1855345911949681,0.0,0.0,0.07389937106918265,0.0,-0.08647798742138457,0.0,0.0,-0.6965408805031446,0.0,0.0,0.6729559748427671,-7.5502392012076e-07
-0.6194968553459125,0.0,0.0,0.0,-0.1855345911949686,0.0,0.0,0.07389937106918043,0.0,-0.08647798742138413,0.0,0.0,0.0,0.6965408805031449,-0.6729559748427678,0.0,-7.550239201119639e-07
